Package 1,Package 1 utility,Package 2,Package 2 utility,Package 3,Package 3 utility,Package 4,Package 4 utility,Package 5,Package 5 utility,Package 6,Package 6 utility,Package 7,Package 7 utility,Package 8,Package 8 utility,Package 9,Package 9 utility,Package 10,Package 10 utility
Flexibility_50% on-site hours 50% work at home_Rescaled_Utility,37.52560412,Flexibility_75% on-site hours 25% work at home_Rescaled_Utility,53.65356665,Flexibility_25% on-site hours 75% work at home_Rescaled_Utility,54.05741248,Flexibility_75% on-site hours 25% work at home_Rescaled_Utility,56.4181359,Flexibility_25% on-site hours 75% work at home_Rescaled_Utility,56.82198173,Flexibility_50% on-site hours 50% work at home_Rescaled_Utility,57.08832821,Flexibility_75% on-site hours 25% work at home_Rescaled_Utility,57.4797268,Flexibility_25% on-site hours 75% work at home_Rescaled_Utility,57.88357262,Flexibility_50% on-site hours 50% work at home_Rescaled_Utility,59.85289745,Flexibility_50% on-site hours 50% work at home_Rescaled_Utility,60.91448835
Perks_Childcare credit_Rescaled_Utility,37.52560412,Perks_Paid professional develop_Rescaled_Utility,53.65356665,Perks_Paid professional develop_Rescaled_Utility,54.05741248,Perks_Paid parental/family leave_Rescaled_Utility,56.4181359,Perks_Paid parental/family leave_Rescaled_Utility,56.82198173,Perks_Paid professional develop_Rescaled_Utility,57.08832821,Perks_Tuition assistance_Rescaled_Utility,57.4797268,Perks_Tuition assistance_Rescaled_Utility,57.88357262,Perks_Paid parental/family leave_Rescaled_Utility,59.85289745,Perks_Tuition assistance_Rescaled_Utility,60.91448835
Stability_High Stability_Rescaled_Utility,37.52560412,Stability_High Stability_Rescaled_Utility,53.65356665,Stability_High Stability_Rescaled_Utility,54.05741248,Stability_High Stability_Rescaled_Utility,56.4181359,Stability_High Stability_Rescaled_Utility,56.82198173,Stability_High Stability_Rescaled_Utility,57.08832821,Stability_High Stability_Rescaled_Utility,57.4797268,Stability_High Stability_Rescaled_Utility,57.88357262,Stability_High Stability_Rescaled_Utility,59.85289745,Stability_High Stability_Rescaled_Utility,60.91448835
Growth_High Growth_Rescaled_Utility,37.52560412,Growth_High Growth_Rescaled_Utility,53.65356665,Growth_High Growth_Rescaled_Utility,54.05741248,Growth_High Growth_Rescaled_Utility,56.4181359,Growth_High Growth_Rescaled_Utility,56.82198173,Growth_High Growth_Rescaled_Utility,57.08832821,Growth_High Growth_Rescaled_Utility,57.4797268,Growth_High Growth_Rescaled_Utility,57.88357262,Growth_High Growth_Rescaled_Utility,59.85289745,Growth_High Growth_Rescaled_Utility,60.91448835
Salary_10% below industry average_Rescaled_Utility,37.52560412,Salary_10% below industry average_Rescaled_Utility,53.65356665,Salary_10% below industry average_Rescaled_Utility,54.05741248,Salary_10% below industry average_Rescaled_Utility,56.4181359,Salary_10% below industry average_Rescaled_Utility,56.82198173,Salary_10% below industry average_Rescaled_Utility,57.08832821,Salary_10% below industry average_Rescaled_Utility,57.4797268,Salary_10% below industry average_Rescaled_Utility,57.88357262,Salary_10% below industry average_Rescaled_Utility,59.85289745,Salary_10% below industry average_Rescaled_Utility,60.91448835
