,Website,Industry,Company size,Type,Headquarters,Specialties,LinkedIn site
0,http://www.lgim.com,Investment Management,"1,001-5,000 employees",Public Company,N/A,N/A,https://www.linkedin.com/company/legal-&-general-investment-management/
1,http://www.goldmansachs.com,Financial Services,"10,001+ employees",Public Company,"New York, New York",N/A,https://www.linkedin.com/company/goldman-sachs/
2,http://www.morganstanley.com,Financial Services,"10,001+ employees",Public Company,"New York, NY","Sales & Trading, Investment Banking, Investment Management, Prime Brokerage, Research, Institutional Consulting, Wealth Management, and Private Wealth Management",https://www.linkedin.com/company/morgan-stanley/
